PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,rang_sozial,belastung_rang
Fennpfuhl Ost,Lichtenberg,35.4,50.4,70.3,156.1
Bremer Straße,Mitte,37.6,41.3,76.9,155.8
Schloßstraße,Steglitz-Zehlendorf,69.0,60.1,25.8,154.9
Golliner Straße,Marzahn-Hellersdorf,26.8,47.6,79.9,154.3
Karl-Marx-Allee,Mitte,52.4,48.0,53.9,154.3
Zingster Straße West,Lichtenberg,27.7,40.6,85.4,153.7
Alt-Lietzow,Charlottenburg-Wilmersdorf,41.0,51.8,60.0,152.8
Falkenberg,Treptow-Köpenick,79.2,58.3,14.9,152.4
Schütte-Lanz-Straße,Steglitz-Zehlendorf,76.9,48.9,26.4,152.2
Weitlingkiez,Lichtenberg,67.5,38.4,45.8,151.7
Nonnendammallee,Spandau,28.8,50.7,72.1,151.6
Gropiusstadt Süd-Ost,Neukölln,32.1,27.1,92.4,151.6
Weichselplatz,Neukölln,30.3,43.2,77.9,151.4
An der Tränke,Spandau,81.9,62.2,7.0,151.1
Heine-Viertel Ost,Mitte,51.7,79.7,19.7,151.1
Markelstraße,Steglitz-Zehlendorf,60.0,70.5,20.5,151.0
Invalidenstraße,Mitte,62.9,72.7,15.3,150.9
Tirschenreuther Ring Ost,Tempelhof-Schöneberg,39.9,35.6,74.4,149.9
Herthaplatz,Pankow,83.2,41.1,25.3,149.6
Lankwitz Süd,Steglitz-Zehlendorf,83.9,45.4,20.3,149.6
Gropiusstadt Nord-West,Neukölln,29.9,30.3,89.1,149.3
Gallwitzallee,Steglitz-Zehlendorf,53.0,32.5,63.3,148.8
Nibelungenviertel,Lichtenberg,60.7,47.2,40.8,148.7
Werkstraße,Spandau,79.9,50.9,17.2,148.0
Handwerker-Siedlung,Neukölln,59.0,28.6,60.3,147.9
Springpfuhl,Marzahn-Hellersdorf,36.7,43.4,67.2,147.3
Richard-Sorge-Viertel,Friedrichshain-Kreuzberg,54.6,59.0,33.4,147.0
Treuenbrietzener Straße,Reinickendorf,22.1,29.2,95.6,146.9
Zitadellenweg,Spandau,33.0,61.3,51.7,146.0
Siemensdamm,Spandau,47.6,28.8,69.6,146.0
Perelsplatz,Tempelhof-Schöneberg,68.5,58.9,18.5,145.9
Wilhelmstadt Ost,Spandau,28.6,41.5,75.5,145.6
Kirchstraße,Tempelhof-Schöneberg,83.8,45.6,16.1,145.5
Bayerischer Platz,Tempelhof-Schöneberg,55.4,52.6,37.5,145.5
Bahnhof Schöneweide,Treptow-Köpenick,37.3,57.7,48.9,143.9
Gartenfeld,Spandau,15.5,58.5,69.0,143.0
Lübars,Reinickendorf,70.5,63.5,8.7,142.7
Kaiser-Wilhelm-Straße,Steglitz-Zehlendorf,62.5,27.3,52.8,142.6
Dörfer Malchow-Wartenberg,Lichtenberg,74.5,64.6,3.5,142.6
Bürgerpark,Marzahn-Hellersdorf,30.1,45.9,66.6,142.6
Sredzkistraße,Pankow,64.9,60.3,17.0,142.2
Prinzenstraße,Friedrichshain-Kreuzberg,26.2,18.3,96.9,141.4
Haveleck,Spandau,18.8,72.5,50.0,141.3
Arnimplatz,Pankow,43.4,64.9,32.7,141.0
Wismarplatz,Friedrichshain-Kreuzberg,45.8,42.8,52.2,140.8
Bosepark,Tempelhof-Schöneberg,42.6,40.0,57.6,140.2
Nikolsburger Platz,Charlottenburg-Wilmersdorf,52.2,56.1,31.9,140.2
Großgörschenstraße,Tempelhof-Schöneberg,17.9,31.0,91.1,140.0
Hundsteinweg,Tempelhof-Schöneberg,53.9,36.9,48.0,138.8
Zillesiedlung,Mitte,21.2,18.6,98.9,138.7
Volkspark Prenzlauer Berg,Pankow,30.6,25.6,82.1,138.3
Garbátyplatz,Pankow,61.4,49.4,27.3,138.1
Breite Straße,Charlottenburg-Wilmersdorf,65.9,46.9,24.7,137.5
Boxhagener Platz,Friedrichshain-Kreuzberg,50.0,57.0,29.0,136.0
Gensinger Straße,Lichtenberg,24.0,40.8,70.7,135.5
Feuerbachstraße,Steglitz-Zehlendorf,55.0,43.7,36.5,135.2
Wassertorplatz,Friedrichshain-Kreuzberg,11.8,23.6,99.3,134.7
Mühlengrund,Lichtenberg,32.3,41.0,61.3,134.6
Lankwitz Kirche,Steglitz-Zehlendorf,49.1,26.2,59.0,134.3
Graefekiez Nord,Friedrichshain-Kreuzberg,25.6,32.1,76.6,134.3
Oberspree,Treptow-Köpenick,62.7,42.3,29.2,134.2
Allende I,Treptow-Köpenick,31.2,55.7,47.2,134.1
Buckower Ring,Marzahn-Hellersdorf,40.2,24.7,68.8,133.7
Thälmannpark,Pankow,22.5,38.6,72.5,133.6
Schweizer Viertel,Steglitz-Zehlendorf,79.5,43.5,10.1,133.1
Hindemithplatz,Charlottenburg-Wilmersdorf,46.5,48.7,37.8,133.0
Humannplatz,Pankow,57.9,55.2,19.4,132.5
Heine-Viertel West,Mitte,55.7,53.5,23.2,132.4
Falkenberg Ost,Lichtenberg,17.7,30.8,83.9,132.4
Bahnhofstraße,Treptow-Köpenick,36.3,67.7,28.2,132.2
Paul-Hertz-Siedlung,Charlottenburg-Wilmersdorf,19.0,22.3,89.9,131.2
Körnerpark,Neukölln,15.9,18.5,96.7,131.1
Thomasiusstraße,Mitte,35.6,50.6,44.1,130.3
Andreasviertel,Friedrichshain-Kreuzberg,35.2,35.2,59.8,130.2
Ludwigkirchplatz,Charlottenburg-Wilmersdorf,47.2,46.1,36.0,129.3
Glasgower Straße,Mitte,22.0,26.0,81.2,129.2
Schleipfuhl,Marzahn-Hellersdorf,23.1,35.4,70.5,129.0
Graetschelsteig,Spandau,20.7,33.0,74.9,128.6
Oberhofer Platz,Steglitz-Zehlendorf,79.3,34.9,14.4,128.6
Stralauer Halbinsel,Friedrichshain-Kreuzberg,22.9,94.8,10.7,128.4
Chamissokiez,Friedrichshain-Kreuzberg,20.5,44.8,62.7,128.0
Silbersteinstraße,Neukölln,14.4,17.3,96.3,128.0
Prager Platz,Charlottenburg-Wilmersdorf,52.0,36.3,39.1,127.4
