PLR_NAME,BEZ_NAME,gruen_gvz,rang_gruen,esix_wert,rang_sozial
Wrangelkiez,Friedrichshain-Kreuzberg,2.861,51.5,-0.862,80.6
Freiheit,Spandau,1.781,88.4,-0.851,80.4
Wittenberger Straße,Marzahn-Hellersdorf,2.345,70.7,-0.851,80.3
Rosenbecker Straße,Marzahn-Hellersdorf,1.658,91.1,-0.851,80.1
Golliner Straße,Marzahn-Hellersdorf,2.95,47.6,-0.851,79.9
Jungfernheide/Plötzensee,Charlottenburg-Wilmersdorf,5.97,9.8,-0.833,79.7
Stephankiez,Mitte,4.067,22.1,-0.807,79.5
Wuhletalstraße,Marzahn-Hellersdorf,2.481,64.8,-0.805,79.3
Carl-Schurz-Straße,Spandau,3.061,45.0,-0.801,79.2
Spreestadt,Charlottenburg-Wilmersdorf,1.304,95.9,-0.797,79.0
Klausenerplatz,Charlottenburg-Wilmersdorf,2.549,62.5,-0.787,78.8
Zingster Straße Ost,Lichtenberg,4.183,19.7,-0.781,78.6
Griesingerstraße,Spandau,8.637,4.4,-0.759,78.4
Reinickes Hof,Reinickendorf,1.805,87.3,-0.739,78.2
Hohenschönhausener Straße,Lichtenberg,2.674,57.2,-0.736,78.0
Weichselplatz,Neukölln,3.118,43.2,-0.736,77.9
Reuterplatz,Neukölln,2.892,50.0,-0.736,77.7
Maybachufer,Neukölln,2.716,55.5,-0.736,77.5
Helle Mitte,Marzahn-Hellersdorf,0.433,100.0,-0.731,77.3
Emdener Straße,Mitte,2.631,59.2,-0.725,77.1
Bremer Straße,Mitte,3.173,41.3,-0.725,76.9
Humboldthain Süd,Mitte,4.8,14.9,-0.724,76.8
Graefekiez Nord,Friedrichshain-Kreuzberg,3.466,32.1,-0.723,76.6
Graefekiez Süd,Friedrichshain-Kreuzberg,2.656,57.9,-0.723,76.4
Marienfelder Allee Nordwest,Tempelhof-Schöneberg,2.732,54.8,-0.717,76.2
Gropiusstadt Süd-West,Neukölln,4.452,17.2,-0.709,76.0
Rathaus Yorckstraße,Friedrichshain-Kreuzberg,2.599,60.0,-0.696,75.8
Wilhelmstadt West,Spandau,2.265,72.9,-0.692,75.6
Wilhelmstadt Ost,Spandau,3.172,41.5,-0.69,75.5
Ernst-Reuter-Platz,Charlottenburg-Wilmersdorf,2.025,81.9,-0.686,75.3
Karower Chaussee,Pankow,4.265,18.8,-0.666,75.1
Graetschelsteig,Spandau,3.424,33.0,-0.655,74.9
Wartenberg Süd,Lichtenberg,2.101,78.6,-0.654,74.7
Heidestraße,Mitte,0.646,99.1,-0.65,74.5
Tirschenreuther Ring Ost,Tempelhof-Schöneberg,3.336,35.6,-0.639,74.4
Tirschenreuther Ring West,Tempelhof-Schöneberg,4.013,22.5,-0.639,74.2
Diedersdorfer Weg,Tempelhof-Schöneberg,2.341,70.8,-0.636,74.0
Havelländer Ring,Marzahn-Hellersdorf,2.237,73.6,-0.616,73.8
Kyritzer Straße,Marzahn-Hellersdorf,2.021,82.3,-0.615,73.6
Gut Hellersdorf,Marzahn-Hellersdorf,2.465,65.1,-0.615,73.4
Teichstraße,Reinickendorf,3.348,35.1,-0.614,73.2
Klinikum Buch,Pankow,6.556,8.1,-0.606,73.1
Altstadt Köpenick,Treptow-Köpenick,1.942,84.9,-0.593,72.9
Ahrensfelder Berge,Marzahn-Hellersdorf,4.817,14.8,-0.58,72.7
Thälmannpark,Pankow,3.252,38.6,-0.578,72.5
Buckow Ost,Neukölln,2.147,76.8,-0.573,72.3
Nonnendammallee,Spandau,2.874,50.7,-0.572,72.1
Julius-Leber-Brücke,Tempelhof-Schöneberg,2.304,71.6,-0.563,72.0
Belziger Straße,Tempelhof-Schöneberg,2.611,59.6,-0.562,71.8
Feurigstraße,Tempelhof-Schöneberg,1.538,92.8,-0.562,71.6
Wartenberg Nord,Lichtenberg,2.107,78.0,-0.525,71.4
Falkenberg West,Lichtenberg,2.461,65.5,-0.522,71.2
John-Locke-Straße,Tempelhof-Schöneberg,2.544,62.7,-0.499,71.0
Am Forstacker,Spandau,3.669,27.5,-0.483,70.8
Gensinger Straße,Lichtenberg,3.188,40.8,-0.473,70.7
Schleipfuhl,Marzahn-Hellersdorf,3.338,35.4,-0.471,70.5
Fennpfuhl Ost,Lichtenberg,2.887,50.4,-0.465,70.3
