PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,hitze_gruen_score,rang_sozial
Kirchstraße,Tempelhof-Schöneberg,83.8,45.6,129.4,16.1
Lankwitz Süd,Steglitz-Zehlendorf,83.9,45.4,129.3,20.3
Schloßstraße,Steglitz-Zehlendorf,69.0,60.1,129.1,25.8
Massower Straße,Lichtenberg,75.1,53.9,129.0,46.1
Wittenberger Straße,Marzahn-Hellersdorf,57.4,70.7,128.1,80.3
Perelsplatz,Tempelhof-Schöneberg,68.5,58.9,127.4,18.5
Emdener Straße,Mitte,68.1,59.2,127.3,77.1
Revaler Straße,Friedrichshain-Kreuzberg,66.2,61.1,127.3,29.9
Leon-Jessel-Platz,Charlottenburg-Wilmersdorf,59.2,67.3,126.5,47.6
Germersheimer Platz,Spandau,72.0,54.2,126.2,84.9
Leopoldplatz,Mitte,56.6,69.6,126.2,97.4
Treptower Straße Nord,Neukölln,65.3,60.7,126.0,98.7
Forckenbeckplatz,Friedrichshain-Kreuzberg,61.8,64.2,126.0,42.8
Schütte-Lanz-Straße,Steglitz-Zehlendorf,76.9,48.9,125.8,26.4
Wartenberg Süd,Lichtenberg,47.0,78.6,125.6,74.7
Sredzkistraße,Pankow,64.9,60.3,125.2,17.0
Herthaplatz,Pankow,83.2,41.1,124.3,25.3
Maselake,Spandau,40.8,83.4,124.2,51.3
Kalckreuthstraße,Tempelhof-Schöneberg,67.2,56.5,123.7,88.0
Bergstraße,Steglitz-Zehlendorf,66.8,56.8,123.6,40.0
Wartenberg Nord,Lichtenberg,45.4,78.0,123.4,71.4
Schweizer Viertel,Steglitz-Zehlendorf,79.5,43.5,123.0,10.1
Reichenberger Straße West,Friedrichshain-Kreuzberg,60.3,62.0,122.3,83.4
Sparrplatz,Mitte,63.1,58.1,121.2,87.8
Marzahner Promenade,Marzahn-Hellersdorf,46.1,74.9,121.0,65.7
Gut Hellersdorf,Marzahn-Hellersdorf,55.9,65.1,121.0,73.4
Rosenfelder Ring,Lichtenberg,53.5,67.0,120.5,63.7
Köllnische Vorstadt,Treptow-Köpenick,57.6,62.9,120.5,66.4
Klausenerplatz,Charlottenburg-Wilmersdorf,57.2,62.5,119.7,78.8
Brunnenstraße,Mitte,58.7,60.5,119.2,93.7
Stülerstraße,Mitte,45.2,74.0,119.2,41.5
Klixstraße,Reinickendorf,63.5,55.0,118.5,91.7
